Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Units,Not Available,Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Viet Nam,Percent,12.95
2011,Normal value,Units,Not Available,Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Viet Nam,Percent,13.35
2012,Normal value,Units,Not Available,Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Viet Nam,Percent,13.28
2013,Normal value,Units,Not Available,Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Viet Nam,Percent,13.34
2014,Normal value,Units,Not Available,Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Viet Nam,Percent,13.18
2015,Normal value,Units,Not Available,Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Viet Nam,Percent,13.69
2016,Normal value,Units,Not Available,Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Viet Nam,Percent,14.27
2017,Normal value,Units,Not Available,Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Viet Nam,Percent,15.33
2018,Normal value,Units,Not Available,Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Viet Nam,Percent,16.0
2019,Normal value,Units,Not Available,Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Viet Nam,Percent,16.5
