Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,Value
2016,A,0,_X,A,N,SE_ACS_ELECT,VN,ISCED11_1,PT,93.44
2017,A,0,_X,A,N,SE_ACS_ELECT,VN,ISCED11_1,PT,96.31
2018,A,0,_X,A,N,SE_ACS_ELECT,VN,ISCED11_1,PT,92.98
2019,A,0,_X,A,N,SE_ACS_ELECT,VN,ISCED11_1,PT,96.96
2016,A,0,_X,A,N,SE_ACS_ELECT,VN,ISCED11_2,PT,94.0
2017,A,0,_X,A,N,SE_ACS_ELECT,VN,ISCED11_2,PT,96.01
2018,A,0,_X,A,N,SE_ACS_ELECT,VN,ISCED11_2,PT,92.59
2019,A,0,_X,A,N,SE_ACS_ELECT,VN,ISCED11_2,PT,96.34
2016,A,0,_X,A,N,SE_ACS_ELECT,VN,ISCED11_3,PT,88.67
2017,A,0,_X,A,N,SE_ACS_ELECT,VN,ISCED11_3,PT,92.49
2018,A,0,_X,A,N,SE_ACS_ELECT,VN,ISCED11_3,PT,87.4
2019,A,0,_X,A,N,SE_ACS_ELECT,VN,ISCED11_3,PT,93.04
2018,A,0,_X,A,N,SE_ACS_INTNT,VN,ISCED11_1,PT,82.76
2019,A,0,_X,A,N,SE_ACS_INTNT,VN,ISCED11_1,PT,88.88
2018,A,0,_X,A,N,SE_ACS_INTNT,VN,ISCED11_2,PT,88.13
2019,A,0,_X,A,N,SE_ACS_INTNT,VN,ISCED11_2,PT,92.85
2018,A,0,_X,A,N,SE_ACS_INTNT,VN,ISCED11_3,PT,85.47
2019,A,0,_X,A,N,SE_ACS_INTNT,VN,ISCED11_3,PT,91.22
2018,A,0,_X,A,N,SE_ACS_CMPTR,VN,ISCED11_1,PT,79.13
2019,A,0,_X,A,N,SE_ACS_CMPTR,VN,ISCED11_1,PT,84.62
2018,A,0,_X,A,N,SE_ACS_CMPTR,VN,ISCED11_2,PT,87.92
2019,A,0,_X,A,N,SE_ACS_CMPTR,VN,ISCED11_2,PT,92.06
2018,A,0,_X,A,N,SE_ACS_CMPTR,VN,ISCED11_3,PT,88.07
2019,A,0,_X,A,N,SE_ACS_CMPTR,VN,ISCED11_3,PT,93.56
2019,A,0,_X,A,N,SE_INF_DSBL,VN,ISCED11_1,PT,31.9
2019,A,0,_X,A,N,SE_INF_DSBL,VN,ISCED11_2,PT,24.9
2019,A,0,_X,A,N,SE_INF_DSBL,VN,ISCED11_3,PT,17.4
