Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,AGE,URBANISATION,UNIT_MEASURE,Value
2011,A,0,_X,A,N,SG_REG_BRTH,VN,Y0T4,,PT,95.0
2014,A,0,_X,A,N,SG_REG_BRTH,VN,Y0T4,,PT,96.1
2019,A,0,_X,A,N,SG_REG_BRTH,VN,Y0T4,,PT,98.8
2019,A,0,_X,A,N,SG_REG_BRTH,VN,Y0T4,U,PT,99.3
2019,A,0,_X,A,N,SG_REG_BRTH,VN,Y0T4,R,PT,98.5
2019,A,0,_X,A,N,SG_REG_BRTH,VN_01,Y0T4,,PT,99.6
2019,A,0,_X,A,N,SG_REG_BRTH,VN_02,Y0T4,,PT,97.7
2019,A,0,_X,A,N,SG_REG_BRTH,VN_03,Y0T4,,PT,99.2
2019,A,0,_X,A,N,SG_REG_BRTH,VN_04,Y0T4,,PT,97.1
2019,A,0,_X,A,N,SG_REG_BRTH,VN_05,Y0T4,,PT,99.2
2019,A,0,_X,A,N,SG_REG_BRTH,VN_06,Y0T4,,PT,98.2
