Value,Disaggregation combinations using this value,Number of indicators
01,10,9
02,10,9
04,10,9
06,10,9
08,10,9
10,10,9
11,10,9
12,10,9
14,10,9
15,10,9
17,10,9
19,10,9
20,10,9
22,10,9
24,10,9
25,10,9
26,10,9
27,10,9
30,10,9
31,10,9
33,9,8
34,10,9
35,10,9
36,10,9
37,10,9
38,10,9
40,10,9
42,10,9
44,10,9
45,10,9
46,10,9
48,10,9
49,10,9
51,10,9
52,10,9
54,10,9
56,10,9
58,10,9
60,10,9
62,10,9
64,10,9
66,10,9
67,10,9
68,10,9
70,10,9
72,10,9
74,10,9
75,10,9
77,10,9
79,10,9
80,10,9
82,10,9
83,10,9
84,10,9
86,9,8
87,10,9
89,10,9
91,10,9
92,9,8
93,10,9
94,10,9
95,10,9
96,10,9
VN_01,14,12
VN_02,14,12
VN_03,14,12
VN_04,14,12
VN_05,14,12
VN_06,14,12
VN,161,44
